"timestamp,aqi,pm2_5,pm10,temperature,humidity,wind_speed",timestamp,aqi,pm2_5,pm10,temperature,humidity,wind_speed
"2024-10-15 01:00:43,4.0,58.58,84.51,28.9,51,2.06",,,,,,,
,2024-11-09 09:11:38,3.0,26.24,59.1,28.9,70.0,2.57
,2024-11-09 14:11:38,3.0,25.01,57.34,32.9,46.0,4.12
,2024-11-09 19:11:38,3.0,27.66,60.31,26.9,74.0,2.57
,2024-11-10 00:11:38,3.0,35.1,68.95,24.9,83.0,0.0
,2024-11-10 05:11:38,3.0,43.25,78.53,23.9,88.0,0.0
,2024-11-10 10:11:38,3.0,39.14,86.9,29.9,58.0,3.09
,2024-11-10 15:11:38,3.0,29.72,87.61,31.9,48.0,4.12
,2024-11-10 20:11:38,3.0,35.33,91.27,25.9,78.0,2.57
,2024-11-11 01:11:38,4.0,50.58,111.75,25.9,83.0,2.06
,2024-11-11 06:11:38,4.0,70.32,141.01,24.9,88.0,1.54
,2024-11-11 11:11:38,4.0,48.07,143.04,31.9,48.0,3.09
,2024-11-11 16:11:38,4.0,45.51,142.64,31.9,40.0,5.14
,2024-11-11 21:11:38,4.0,48.91,143.07,25.9,78.0,2.06
,2024-11-12 02:11:38,4.0,58.3,150.27,24.9,83.0,2.06
,2024-11-12 07:11:38,5.0,167.42,274.55,22.9,94.0,2.06
,2024-11-12 12:11:38,4.0,52.58,160.3,31.9,45.0,6.17
,2024-11-12 17:11:38,4.0,51.27,150.96,28.9,58.0,3.6
,2024-11-12 22:11:38,5.0,78.35,180.29,26.9,69.0,1.54
,2024-11-13 03:11:38,5.0,82.76,166.75,23.9,83.0,0.0
,2024-11-13 08:11:38,5.0,318.69,432.65,24.9,88.0,0.0
,2024-11-13 13:11:38,4.0,53.72,110.92,32.9,25.0,5.14
,2024-11-13 18:11:38,4.0,67.59,152.94,27.9,54.0,4.12
,2024-11-13 23:11:38,5.0,76.38,144.32,24.9,73.0,1.54
,2024-11-14 04:11:38,5.0,87.02,140.4,21.9,83.0,1.54
,2024-11-14 09:11:38,5.0,253.2,344.44,27.9,65.0,2.06
,2024-11-14 14:11:38,3.0,41.47,69.25,32.9,21.0,3.09
,2024-11-14 19:11:38,4.0,64.88,102.79,27.9,32.0,1.54
,2024-11-15 00:11:38,5.0,115.68,156.58,20.9,56.0,2.57
,2024-11-15 05:11:38,3.0,47.43,72.46,19.9,64.0,3.09
,2024-11-15 10:11:38,5.0,123.23,175.34,28.9,45.0,3.09
,2024-11-15 15:11:38,3.0,36.46,62.06,32.9,19.0,3.09
,2024-11-15 20:11:38,3.0,39.65,73.27,25.9,38.0,2.06
,2024-11-16 01:11:38,3.0,36.39,65.67,20.9,73.0,1.54
,2024-11-16 06:11:38,5.0,75.19,121.62,19.9,77.0,2.06
,2024-11-16 11:11:38,3.0,38.79,92.72,30.9,37.0,1.54
,2024-11-16 16:11:38,3.0,35.37,97.07,30.9,37.0,4.12
,2024-11-16 21:11:38,4.0,45.99,111.03,25.9,65.0,0.0
,2024-11-17 02:11:38,5.0,107.47,167.0,22.9,73.0,1.54
,2024-11-17 07:11:38,5.0,132.6,208.14,21.9,83.0,1.54
,2024-11-17 12:11:38,5.0,181.97,259.9,31.9,35.0,4.12
,2024-11-17 17:11:38,4.0,62.31,122.56,29.9,37.0,4.12
,2024-11-17 22:11:38,5.0,190.26,265.8,24.9,61.0,1.54
,2024-11-18 03:11:38,5.0,125.25,192.57,22.9,64.0,2.06
,2024-11-18 08:11:38,5.0,191.4,272.58,22.9,56.0,1.54
,2024-11-18 13:11:38,5.0,257.94,379.38,31.9,22.0,2.06
,2024-11-18 18:11:38,5.0,147.27,218.06,26.9,41.0,1.54
,2024-11-18 23:11:38,5.0,561.25,677.33,22.9,56.0,2.57
,2024-11-19 04:11:38,5.0,146.56,213.4,21.9,49.0,0.0
,2024-11-19 09:11:38,5.0,326.14,431.74,26.9,36.0,1.03
,2024-11-19 14:11:38,5.0,134.44,194.53,31.9,40.0,4.12
,2024-11-19 19:11:38,4.0,50.56,91.36,25.9,38.0,1.54
,2024-11-20 00:11:38,5.0,186.75,243.14,21.9,56.0,1.54
,2024-11-20 05:11:38,5.0,117.18,168.33,19.9,60.0,2.06
,2024-11-20 10:11:38,5.0,381.65,490.21,27.9,34.0,3.09
,2024-11-20 15:11:38,3.0,34.88,63.48,30.9,29.0,4.12
,2024-11-20 20:11:38,4.0,60.21,98.11,24.9,61.0,1.54
,2024-11-21 01:11:38,5.0,127.97,170.16,20.9,78.0,2.57
,2024-11-21 06:11:38,5.0,150.67,197.66,18.9,82.0,1.54
,2024-11-21 11:11:38,3.0,45.06,75.84,30.9,40.0,3.09
,2024-11-21 16:11:38,3.0,29.53,55.28,29.9,39.0,6.17
,2024-11-21 21:11:38,4.0,61.72,97.93,24.9,65.0,2.06
,2024-11-22 02:11:38,4.0,50.27,75.95,21.9,78.0,1.54
,2024-11-22 07:11:38,5.0,152.8,195.07,19.9,88.0,2.06
,2024-11-22 12:11:38,3.0,33.8,56.37,30.9,35.0,1.54
,2024-11-22 17:11:38,3.0,32.15,52.44,27.9,54.0,5.14
,2024-11-22 22:11:38,4.0,67.61,99.61,23.9,69.0,2.06
,2024-11-23 03:11:38,3.0,33.48,51.09,21.9,73.0,1.54
,2024-11-23 08:11:38,5.0,130.29,168.62,22.9,78.0,2.06
,2024-11-23 13:11:38,2.0,24.94,40.86,30.9,40.0,4.63
,2024-11-23 18:11:38,3.0,25.04,42.09,26.9,57.0,4.12
,2024-11-23 23:11:38,4.0,72.64,104.46,23.9,78.0,1.54
,2024-11-24 04:11:38,4.0,67.77,94.48,20.9,88.0,2.06
,2024-11-24 09:11:38,5.0,285.91,354.15,25.9,78.0,2.06
,2024-11-24 14:11:38,5.0,75.45,109.4,31.9,31.0,0.0
,2024-11-24 19:11:38,3.0,35.8,61.38,24.9,50.0,1.54
,2024-11-25 00:11:38,5.0,131.7,172.42,21.9,83.0,2.06
,2024-11-25 05:11:38,5.0,101.59,151.48,17.9,88.0,3.09
,2024-11-25 10:11:38,5.0,245.2,355.09,28.9,37.0,2.57
,2024-11-25 15:11:38,5.0,111.04,162.86,30.9,29.0,3.09
,2024-11-25 20:11:38,5.0,257.8,321.57,24.9,44.0,2.57
,2024-11-26 01:11:38,5.0,382.86,475.79,19.9,68.0,2.06
,2024-11-26 06:11:38,5.0,200.03,263.41,17.9,82.0,2.57
,2024-11-26 11:11:38,5.0,137.47,184.64,30.9,35.0,2.06
